country,attraction,url,last_page_number
Australia,Sydney_Harbour-Sydney_New_South_Wales,http://www.tripadvisor.com/Attraction_Review-g255060-d257842-Reviews-Sydney_Harbour-Sydney_New_South_Wales.html#REVIEWS,1520
Australia,Australian_War_Memorial-Canberra_Australian_Capital_Territory,http://www.tripadvisor.com/Attraction_Review-g255057-d257269-Reviews-Australian_War_Memorial-Canberra_Australian_Capital_Territory.html#REVIEWS,751
Australia,Bondi_to_Coogee_Beach_Coastal_Walk-Sydney_New_South_Wales,http://www.tripadvisor.com/Attraction_Review-g255060-d2534313-Reviews-Bondi_to_Coogee_Beach_Coastal_Walk-Sydney_New_South_Wales.html#REVIEWS,955
Australia,Sydney_Opera_House-Sydney_New_South_Wales,http://www.tripadvisor.com/Attraction_Review-g255060-d257278-Reviews-Sydney_Opera_House-Sydney_New_South_Wales.html#REVIEWS,1340
Australia,Shrine_of_Remembrance-Melbourne_Victoria,http://www.tripadvisor.com/Attraction_Review-g255100-d522360-Reviews-Shrine_of_Remembrance-Melbourne_Victoria.html#REVIEWS,408
Australia,Fremantle_Prison-Fremantle_Greater_Perth_Western_Australia,http://www.tripadvisor.com/Attraction_Review-g285726-d319394-Reviews-Fremantle_Prison-Fremantle_Greater_Perth_Western_Australia.html#REVIEWS,283
Australia,Port_Arthur_Historic_Site-Port_Arthur_Tasmania,http://www.tripadvisor.com/Attraction_Review-g504319-d258126-Reviews-Port_Arthur_Historic_Site-Port_Arthur_Tasmania.html#REVIEWS,315
Australia,Historic_Village_Herberton-Herberton_Queensland,http://www.tripadvisor.com/Attraction_Review-g735463-d1546689-Reviews-Historic_Village_Herberton-Herberton_Queensland.html#REVIEWS,52
Australia,Australian_War_Memorial-Canberra_Australian_Capital_Territory,http://www.tripadvisor.com/Attraction_Review-g255057-d257269-Reviews-Australian_War_Memorial-Canberra_Australian_Capital_Territory.html#REVIEWS,751
Australia,Melbourne_Cricket_Ground_MCG-Melbourne_Victoria,http://www.tripadvisor.com/Attraction_Review-g255100-d256584-Reviews-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS,706
