country,attraction,address,latitude,longitude
Australia,Sydney_Harbour-Sydney_New_South_Wales,"Sydney, New South Wales, Australia",-33.8688197,151.2092955
Australia,Australian_War_Memorial-Canberra_Australian_Capital_Territory,"Treloar Crescent, Canberra 2612, Australia",-35.2794444,149.1496801
Australia,Bondi_to_Coogee_Beach_Coastal_Walk-Sydney_New_South_Wales,"Arden Street | Coogee Beach, Sydney, New South Wales, Australia",-33.9223929,151.2559728
Australia,Sydney_Opera_House-Sydney_New_South_Wales,"Bennelong Point, Sydney, New South Wales 2000, Australia",-33.8565361,151.2149964
Australia,Shrine_of_Remembrance-Melbourne_Victoria,"St. Kilda Road, Melbourne, Victoria 3001, Australia",-37.8425571,144.977767
Australia,Fremantle_Prison-Fremantle_Greater_Perth_Western_Australia,"1 The Terrace, Fremantle, Western Australia 6160, Australia",-32.0550007,115.753544
Australia,Port_Arthur_Historic_Site-Port_Arthur_Tasmania,"Arthur Highway, Port Arthur, Tasmania 7182, Australia",-43.1163221,147.8545554
Australia,Historic_Village_Herberton-Herberton_Queensland,"6 Broadway, Herberton, Queensland 4887, Australia",-17.3742788,145.3844375
Australia,Australian_War_Memorial-Canberra_Australian_Capital_Territory,"Treloar Crescent, Canberra 2612, Australia",-35.2794444,149.1496801
Australia,Melbourne_Cricket_Ground_MCG-Melbourne_Victoria," | Yarra Park, Jolimont, Melbourne, Victoria 8002, Australia",-37.8199669,144.9834493
Australia,Shrine_of_Remembrance-Melbourne_Victoria,"St. Kilda Road, Melbourne, Victoria 3001, Australia",-37.8425571,144.977767
Australia,National_Anzac_Centre-Albany_Western_Australia,"67 Forts Road | Great Southern Region, Western Australia, Albany, Western Australia 6330, Australia",-35.0288266,117.8808603
Australia,Uluru-Uluru_Kata_Tjuta_National_Park_Red_Centre_Northern_Territory,"Lasseter Highway, Uluru-Kata Tjuta National Park, Northern Territory 0872, Australia",-25.3437797,131.0346514
Australia,Kata_Tjuta_The_Olgas-Uluru_Kata_Tjuta_National_Park_Red_Centre_Northern_Territory,"Uluru-Kata Tjuta National Park, Northern Territory, Australia",-25.3437797,131.0346514
Australia,Jewel_Cave-Augusta_Margaret_River_Region_Western_Australia,"Caves Road, Augusta, Western Australia, Australia",-34.2919545,115.1302916
Australia,Twelve_Apostles-Princetown_Victoria,"Great Ocean Road, Princetown, Victoria 3269, Australia",-38.676279,143.1390641
Australia,Australia_Zoo-Beerwah_Sunshine_Coast_Queensland,"1638 Steve Irwin Way, Beerwah, Queensland 4519, Australia",-26.8354879,152.9627109
Australia,Taronga_Western_Plains_Zoo-Dubbo_New_South_Wales,"Obley Rd, Dubbo, New South Wales NSW 2830, Australia",-32.3351616,148.5958657
