country,attraction,address
Australia,Sydney_Harbour-Sydney_New_South_Wales,"Sydney, New South Wales, Australia"
Australia,Australian_War_Memorial-Canberra_Australian_Capital_Territory,"Treloar Crescent, Canberra 2612, Australia"
Australia,Bondi_to_Coogee_Beach_Coastal_Walk-Sydney_New_South_Wales,"Arden Street | Coogee Beach, Sydney, New South Wales, Australia"
Australia,Sydney_Opera_House-Sydney_New_South_Wales,"Bennelong Point, Sydney, New South Wales 2000, Australia"
Australia,Shrine_of_Remembrance-Melbourne_Victoria,"St. Kilda Road, Melbourne, Victoria 3001, Australia"
Australia,Fremantle_Prison-Fremantle_Greater_Perth_Western_Australia,"1 The Terrace, Fremantle, Western Australia 6160, Australia"
Australia,Port_Arthur_Historic_Site-Port_Arthur_Tasmania,"Arthur Highway, Port Arthur, Tasmania 7182, Australia"
Australia,Historic_Village_Herberton-Herberton_Queensland,"6 Broadway, Herberton, Queensland 4887, Australia"
Australia,Australian_War_Memorial-Canberra_Australian_Capital_Territory,"Treloar Crescent, Canberra 2612, Australia"
Australia,Melbourne_Cricket_Ground_MCG-Melbourne_Victoria," | Yarra Park, Jolimont, Melbourne, Victoria 8002, Australia"
Australia,Shrine_of_Remembrance-Melbourne_Victoria,"St. Kilda Road, Melbourne, Victoria 3001, Australia"
Australia,National_Anzac_Centre-Albany_Western_Australia,"67 Forts Road | Great Southern Region, Western Australia, Albany, Western Australia 6330, Australia"
Australia,Uluru-Uluru_Kata_Tjuta_National_Park_Red_Centre_Northern_Territory,"Lasseter Highway, Uluru-Kata Tjuta National Park, Northern Territory 0872, Australia"
Australia,Kata_Tjuta_The_Olgas-Uluru_Kata_Tjuta_National_Park_Red_Centre_Northern_Territory,"Uluru-Kata Tjuta National Park, Northern Territory, Australia"
Australia,Jewel_Cave-Augusta_Margaret_River_Region_Western_Australia,"Caves Road, Augusta, Western Australia, Australia"
Australia,Twelve_Apostles-Princetown_Victoria,"Great Ocean Road, Princetown, Victoria 3269, Australia"
Australia,Australia_Zoo-Beerwah_Sunshine_Coast_Queensland,"1638 Steve Irwin Way, Beerwah, Queensland 4519, Australia"
Australia,Taronga_Western_Plains_Zoo-Dubbo_New_South_Wales,"Obley Rd, Dubbo, New South Wales NSW 2830, Australia"
Australia,Manly_Sea_Life_Sanctuary_Shark_Dive_Xtreme-Manly_Greater_Sydney_New_South_Wales,"West Esplanade | Manly Sea Life Sanctuary, Manly, New South Wales 2095, Australia"
Australia,Melbourne_Zoo-Melbourne_Victoria,"Elliot Ave | Parkville, Melbourne, Victoria 3052, Australia"
Australia,Kings_Park_War_Memorial-Perth_Greater_Perth_Western_Australia,"Southern end of Fraser Avenue | Kings Park, Perth, Western Australia 6005, Australia"
Australia,The_Wall_in_the_Wilderness-Derwent_Bridge_Tasmania,"15352 Lyell Hwy, Derwent Bridge, Tasmania 7140, Australia"
Australia,Captain_Cook_s_Monument-Norfolk_Island,"Norfolk Island, Australia"
Australia,Desert_Mounted_Corps_Memorial-Albany_Western_Australia,"Summit of Mount Clarence, Apex Drive | Great Southern Region, Albany, Western Australia 6330, Australia"
Australia,Wave_Lagoon-Darwin_Top_End_Northern_Territory,"Darwin Waterfront | Kitchener Drive, Darwin, Northern Territory, Australia"
Australia,WetSide_Water_Park-Hervey_Bay_Fraser_Coast_Queensland,"The Esplanade, Hervey Bay, Queensland 4655, Australia"
Australia,Putt_Putt_Golf-Mermaid_Beach_Gold_Coast_Queensland,"2492 Gold Coast Highway, Mermaid Beach, Gold Coast, Queensland 4218, Australia"
Australia,The_Rockpools-Southport_Gold_Coast_Queensland,"Broadwater Parklands | Marine Parade, Southport, Gold Coast, Queensland 4217, Australia"
